id	hierarchy	fixes	observed_node	experimental_outcome	predict_value	attractor_agreement	score
51	0	Food=1,oxidative_stress=0,	HSF-1_high	OFF	0.0	1.0	0.5
52	1	Food=1,oxidative_stress=1,	HSF-1_high	ON	1.0	1.0	1.0
90	1	Food=1,hlh-30_basal=0,oxidative_stress=0,	HSF-1_high	OFF	0.0	1.0	0.5
53	0	Food=1,oxidative_stress=0,	mxl-3_basal	ON	0.5	0.5	0.25
55	1	Food=0,oxidative_stress=0,	mxl-3_basal	OFF	1.0	0	0.0
66	1	DAF-2=0,Food=1,oxidative_stress=0,	mxl-3_basal	ON	1.0	1.0	0.25
68	1	DAF-16_basal=0,Food=1,oxidative_stress=0,	mxl-3_basal	ON	0.5	0.5	0.125
71	1	Food=1,hlh-30_basal=0,oxidative_stress=0,	mxl-3_basal	ON	0.5	0.5	0.125
73	2	Food=0,hlh-30_basal=0,oxidative_stress=0,	mxl-3_basal	OFF	1.0	0	0.0
54	0	Food=1,oxidative_stress=0,	mxl-3_high	OFF	0.0	1.0	0.5
65	1	Food=1,GLP-1=0,oxidative_stress=0,	mxl-3_high	ON	0.5	0.5	0.5
67	1	DAF-2=0,Food=1,oxidative_stress=0,	mxl-3_high	OFF	1.0	0	0.0
69	1	DAF-16_basal=0,Food=1,oxidative_stress=0,	mxl-3_high	OFF	0.0	1.0	0.5
70	2	Food=1,HSF-1_basal=1,HSF-1_high=1,oxidative_stress=0,	mxl-3_high	ON	1.0	1.0	1.0
72	1	Food=1,hlh-30_basal=0,oxidative_stress=0,	mxl-3_high	OFF	0.0	1.0	0.5
56	0	Food=1,oxidative_stress=0,	MXL-3_basal	ON	0.5	0.5	0.25
59	1	Food=0,oxidative_stress=0,	MXL-3_basal	OFF	0.0	1.0	0.5
61	1	Food=1,mTORC1_basal=0,oxidative_stress=0,	MXL-3_basal	OFF	0.0	1.0	0.5
62	1	Food=1,HSF-1_basal=0,oxidative_stress=0,	MXL-3_basal	OFF	0.0	1.0	0.5
63	1	DAF-16_basal=0,Food=1,oxidative_stress=0,	MXL-3_basal	ON	0.5	0.5	0.125
57	0	Food=1,oxidative_stress=0,	MXL-3_high	OFF	0.0	1.0	0.5
58	1	Food=1,oxidative_stress=1,	MXL-3_high	ON	1.0	1.0	1.0
64	1	DAF-16_basal=0,Food=1,oxidative_stress=0,	MXL-3_high	OFF	0.0	1.0	0.5
60	1	Food=1,oxidative_stress=1,	mTORC1_high	ON	1.0	1.0	1.0
total	42.125
max	81.0
per	52.00617283950617%
