ID	Score	Intervention	Observed Node	Value
216	1.0	ABA=0,Actin_Reorganization=0,ROS=1	Closure	Some
217	1.0	ABA=0,8-nitro-cGMP=1	Closure	Some
218	1.0	ABA=0,8-nitro-cGMP=1,SLAC1=0	Closure	OFF
219	1.0	ABA=0,cADPR=1	Closure	ON
220	1.0	ABA=0,ABI1=1,AtRAC1=0	Closure	Some/ON
221	1.0	ABA=0,ABI1=1,AtRAC1=1	Closure	OFF
222	1.0	ABA=0,InsP3=1	Closure	Some/ON
223	1.0	ABA=0,InsP3=1	Ca2c	Some
224	1.0	ABA=0,CaIM=0	Closure	OFF
225	1.0	ABA=0,CaIM=0	Ca2c	OFF
226	1.0	ABA=0,CaIM=0,InsP3=1	Closure	Some/ON
227	1.0	ABA=0,CaIM=0,InsP3=1	Ca2c	Some
228	1.0	ABA=0,NO=1,NtSyp121=0	Closure	Some
229	1.0	ABA=0,NO=1,PLC=0	Closure	OFF
230	1.0	ABA=0,NO=1,PLDdelta=0	Closure	OFF
231	1.0	ABA=0,NO=1,PLDalpha=0	Closure	Some/ON
232	1.0	ABA=0,NO=1,PLDalpha=0,PLDdelta=0	Closure	OFF
233	1.0	ABA=0,8-nitro-cGMP=1,cADPR=0	Closure	OFF
234	1.0	ABA=0,8-nitro-cGMP=1,Ca2c=0	Closure	OFF/Some
235	1.0	ABA=0,GCR1=0,S1P_PhytoS1P=1	Closure	ON
236	1.0	ABA=0,CaIM=1,CPK3_21=0	Closure	Some
237	1.0	ABA=0,CaIM=1,CPK6=0	Closure	Some
238	1.0	ABA=0,ABI1=1,NO=1	Closure	OFF
239	1.0	ABA=0,ABI2=1,NO=1	Closure	OFF
240	1.0	ABA=0,CaIM=1,TCTP=1	Closure	ON
241	1.0	ABA=0,CaIM=1,PLDalpha=0	Closure	OFF
242	1.0	ABA=0,NO=0,ROS=1	Closure	OFF/Some
243	1.0	ABA=0,NO=1,ROS=0	Closure	ON
244	1.0	ABA=0	ROS	OFF
245	1.0	ABA=1	ROS	ON
246	1.0	ABA=0	NO	OFF
247	1.0	ABA=1	NO	ON
248	1.0	ABA=0	pHc	OFF
249	1.0	ABA=1	pHc	ON
250	1.0	ABA=0,RCARs=0	ROS	OFF
251	1.0	ABA=1,RCARs=0	ROS	OFF
252	1.0	ABA=0,RCARs=0	NO	OFF
253	1.0	ABA=1,RCARs=0	NO	OFF
254	1.0	ABA=0,RCARs=0	pHc	OFF
255	1.0	ABA=1,RCARs=0	pHc	OFF
256	1.0	ABA=0,NO=1	pHc	Some
257	1.0	ABA=1,NO=1	pHc	ON
258	1.0	ABA=0,NO=0	pHc	OFF
259	1.0	ABA=1,NO=0	pHc	Some
260	1.0	ABA=0,Ca2c=0	pHc	OFF
261	1.0	ABA=1,Ca2c=0	pHc	OFF
262	1.0	ABA=0,Ca2c=0	ROS	OFF
263	1.0	ABA=1,Ca2c=0	ROS	ON
264	1.0	ABA=0,pHc=0	NO	OFF
265	1.0	ABA=1,pHc=0	NO	OFF
266	1.0	ABA=0,pHc=1	NO	ON
267	1.0	ABA=1,pHc=1	NO	ON
268	1.0	ABA=0,Ca2c=0	NO	OFF
269	1.0	ABA=1,Ca2c=0	NO	OFF
270	1.0	ABA=0,ROS=1	NO	ON
271	1.0	ABA=0,NIA1_2=0	NO	OFF/Some
272	1.0	ABA=1,NIA1_2=0	NO	OFF
273	1.0	ABA=0,NIA1_2=0,ROS=1	NO	OFF
274	1.0	ABA=0,Nitrite=1	NO	ON
275	1.0	ABA=0,NIA1_2=0,Nitrite=1	NO	OFF
276	1.0	ABA=0,RBOH=0	NO	OFF
277	1.0	ABA=1,RBOH=0	NO	OFF
278	1.0	ABA=0,RBOH=0,ROS=1	NO	ON
279	1.0	ABA=0,ABI1=0	NO	OFF
280	1.0	ABA=1,ABI1=0	NO	ON
281	1.0	ABA=0,NO=1	ROS	OFF
282	1.0	ABA=1,NO=0	ROS	ON
283	1.0	ABA=0	CaIM	OFF
284	1.0	ABA=1	CaIM	ON
285	1.0	ABA=0	SACC	OFF
286	1.0	ABA=0,SACC=0	CaIM	OFF
287	1.0	ABA=1,SACC=0	CaIM	ON
288	1.0	ABA=0,SACC=0,GPA1=0	CaIM	OFF
289	1.0	ABA=1,SACC=0,GPA1=0	CaIM	OFF
290	1.0	ABA=0,GPA1=0	ROS	OFF
291	1.0	ABA=1,GPA1=0	ROS	OFF
292	1.0	ABA=0,AquaporinPIP2_1=0	ROS	OFF
293	1.0	ABA=1,AquaporinPIP2_1=0	ROS	OFF
294	1.0	ABA=0	AquaporinPIP2_1	OFF
295	1.0	ABA=1	AquaporinPIP2_1	ON
296	1.0	ABA=0,OST1=0	AquaporinPIP2_1	OFF
297	1.0	ABA=1,OST1=0	AquaporinPIP2_1	OFF
298	1.0	ABA=0	SLAC1	OFF
299	1.0	ABA=1	SLAC1	ON
300	1.0	ABA=0,OST1=0	SLAC1	OFF
301	1.0	ABA=1,OST1=0	SLAC1	OFF
302	1.0	ABA=0,GHR1=0	SLAC1	OFF
303	1.0	ABA=1,GHR1=0	SLAC1	OFF/Some
304	1.0	ABA=1,ABI1=1	pHc	OFF
305	1.0	ABA=1,ABI2=1	pHc	OFF
306	1.0	ABA=1,OST1=0	pHc	OFF
307	1.0	ABA=0,CaIM=1	pHc	ON
308	1.0	ABA=0,CaIM=1,ABI1=1	pHc	ON
309	1.0	ABA=0,CaIM=1,ABI2=1	pHc	ON
310	1.0	ABA=0,CaIM=1,OST1=0	pHc	ON
311	1.0	ABA=0	Ca2c	OFF
312	1.0	ABA=1	Ca2c	Some
313	1.0	ABA=1,pHc=0	Ca2c	OFF/Some
314	1.0	ABA=0,OST1=0	Ca2c	OFF
315	1.0	ABA=1,OST1=0	Ca2c	OFF
316	1.0	ABA=0	Actin_Reorganization	OFF
317	1.0	ABA=1	Actin_Reorganization	ON
318	1.0	ABA=0,ABI1=1	Actin_Reorganization	OFF
319	1.0	ABA=1,ABI1=1	Actin_Reorganization	OFF
320	1.0	ABA=0,PtdInsP3=0	Actin_Reorganization	OFF
321	1.0	ABA=1,PtdInsP3=0	Actin_Reorganization	OFF/Some
322	1.0	ABA=0,PtdInsP4=0	Actin_Reorganization	OFF
323	1.0	ABA=1,PtdInsP4=0	Actin_Reorganization	OFF/Some
324	1.0	ABA=1,PtdInsP3=0,PtdInsP4=0	Actin_Reorganization	OFF/Some
325	1.0	ABA=1,PLC=0	Actin_Reorganization	ON
326	1.0	ABA=1,ROS=0	Actin_Reorganization	OFF/Some
327	1.0	ABA=0,RBOH=0	Actin_Reorganization	OFF
328	1.0	ABA=1,RBOH=0	Actin_Reorganization	OFF/Some
329	1.0	ABA=0	AtRAC1	ON
330	1.0	ABA=1	AtRAC1	OFF
331	1.0	ABA=0,ABI1=1	AtRAC1	ON
332	1.0	ABA=1,ABI1=1	AtRAC1	ON
333	1.0	ABA=0	8-nitro-cGMP	OFF
334	1.0	ABA=1	8-nitro-cGMP	ON
335	1.0	ABA=0,NO=1	8-nitro-cGMP	Some/ON
336	1.0	ABA=1,NO=0	8-nitro-cGMP	OFF
337	1.0	ABA=1,NOGC1=0	8-nitro-cGMP	OFF
338	1.0	ABA=1,NOGC1=0,cGMP=1	8-nitro-cGMP	ON
339	1.0	ABA=0,NO=1,NOGC1=0	8-nitro-cGMP	OFF
340	1.0	ABA=0,NO=1,NOGC1=0,cGMP=1	8-nitro-cGMP	ON
341	1.0	ABA=1,ROS=0	8-nitro-cGMP	OFF
342	1.0	ABA=0	K_efflux	OFF
343	1.0	ABA=1	K_efflux	ON
344	1.0	ABA=0	KEV	OFF
345	1.0	ABA=1	KEV	ON
346	1.0	ABA=0,CaIM=1	KEV	Some/ON
347	1.0	ABA=0	Microtubule_Depolymerization	OFF
348	1.0	ABA=1	Microtubule_Depolymerization	ON
349	1.0	ABA=0,PLDalpha=0	Microtubule_Depolymerization	OFF
350	1.0	ABA=1,PLDalpha=0	Microtubule_Depolymerization	Some
351	1.0	ABA=0,PP2CA=0	Microtubule_Depolymerization	OFF
352	1.0	ABA=1,PP2CA=0	Microtubule_Depolymerization	ON
353	1.0	ABA=0,PA=1	Microtubule_Depolymerization	ON
354	1.0	ABA=0,PA=1,PP2CA=0	Microtubule_Depolymerization	Some/ON
355	1.0	ABA=0,Ca2c=0	Microtubule_Depolymerization	OFF
356	1.0	ABA=1,Ca2c=0	Microtubule_Depolymerization	OFF/Some
357	1.0	ABA=0,Ca2c=0,PA=1	Microtubule_Depolymerization	ON
358	1.0	ABA=0,Ca2c=0,PLDalpha=0	Microtubule_Depolymerization	OFF/Some
359	1.0	ABA=1,Ca2c=0,PLDalpha=0	Microtubule_Depolymerization	OFF/Some
360	1.0	ABA=0,Ca2c=0,PA=1,PLDalpha=0	Microtubule_Depolymerization	ON
361	1.0	ABA=0,CaIM=1	Microtubule_Depolymerization	ON
362	1.0	ABA=0,CaIM=1,PLDalpha=0	Microtubule_Depolymerization	Some
363	1.0	ABA=0	Vacuolar_Acidification	OFF
364	1.0	ABA=1	Vacuolar_Acidification	ON
365	1.0	ABA=0,PI3P5K=0	Vacuolar_Acidification	OFF
366	1.0	ABA=1,PI3P5K=0	Vacuolar_Acidification	OFF/Some
367	1.0	ABA=0,PI3P5K=0	pHc	OFF
368	1.0	ABA=1,PI3P5K=0	pHc	OFF/Some
369	1.0	ABA=0,V-PPase=0	Vacuolar_Acidification	OFF
370	1.0	ABA=1,V-PPase=0	Vacuolar_Acidification	Some
371	1.0	ABA=0,pHc=0	Vacuolar_Acidification	OFF
372	1.0	ABA=1,pHc=0	Vacuolar_Acidification	OFF/Some
373	1.0	ABA=0,pHc=0	ROS	OFF
374	1.0	ABA=1,pHc=0	ROS	Some
375	1.0	ABA=0,OST1=0	CaIM	OFF
376	1.0	ABA=1,OST1=0	CaIM	OFF
377	1.0	ABA=0,OST1=1	CaIM	OFF
378	1.0	ABA=1,OST1=1	CaIM	ON
379	1.0	ABA=0,OST1=0	ROS	OFF
380	1.0	ABA=1,OST1=0	ROS	OFF
381	1.0	ABA=0,OST1=1	ROS	OFF
382	1.0	ABA=1,OST1=1	ROS	ON
383	1.0	ABA=0,RBOH=0	ROS	OFF
384	1.0	ABA=1,RBOH=0	ROS	OFF
385	1.0	ABA=0,OST1=0,RBOH=0	ROS	OFF
386	1.0	ABA=1,OST1=0,RBOH=0	ROS	OFF
387	1.0	ABA=0,KOUT=0,RBOH=0	ROS	OFF
388	1.0	ABA=1,KOUT=0,RBOH=0	ROS	OFF
389	1.0	ABA=0,ABI1=1	ROS	OFF
390	1.0	ABA=1,ABI1=1	ROS	OFF
391	1.0	ABA=0,ABI2=1	ROS	OFF
392	1.0	ABA=1,ABI2=1	ROS	ON
393	1.0	ABA=0,ABI1=0	ROS	OFF
394	1.0	ABA=1,ABI1=0	ROS	ON
395	1.0	ABA=0,PtdInsP3=0	ROS	OFF
396	1.0	ABA=1,PtdInsP3=0	ROS	OFF/Some
397	1.0	ABA=0,PtdInsP4=0	ROS	OFF
398	1.0	ABA=1,PtdInsP4=0	ROS	ON
399	1.0	ABA=1,PtdInsP3=0,PtdInsP4=0	ROS	OFF
400	1.0	ABA=0,PLDdelta=0	NO	OFF
401	1.0	ABA=1,PLDdelta=0	NO	ON
402	1.0	ABA=0,PLDdelta=0	ROS	OFF
403	1.0	ABA=1,PLDdelta=0	ROS	ON
404	1.0	ABA=0	PA	OFF
405	1.0	ABA=1	PA	ON
406	1.0	ABA=0,PLDalpha=0	PA	OFF
407	1.0	ABA=1,PLDalpha=0	PA	Some
408	1.0	ABA=0,PLDalpha=0	ROS	OFF/Some
409	1.0	ABA=1,PLDalpha=0	ROS	OFF/Some
410	1.0	ABA=0,PLDalpha=0	NO	OFF
411	1.0	ABA=1,PLDalpha=0	NO	OFF
412	1.0	ABA=0,PLDalpha=0,ROS=1	NO	ON
413	1.0	ABA=0	AnionEM	OFF
414	1.0	ABA=1	AnionEM	ON
415	1.0	ABA=0,cADPR=0	AnionEM	OFF
416	1.0	ABA=1,cADPR=0	AnionEM	OFF
417	1.0	ABA=0,PLC=0	AnionEM	OFF
418	1.0	ABA=1,PLC=0	AnionEM	OFF
419	1.0	ABA=1	Depolarization	ON
420	1.0	ABA=1,cADPR=0	Depolarization	OFF
421	1.0	ABA=1,PLC=0	Depolarization	OFF
422	1.0	ABA=0,SACC=0,ERA1=0	CaIM	OFF
423	1.0	ABA=1,SACC=0,ERA1=0	CaIM	ON
424	1.0	ABA=0,ERA1=0	SLAC1	OFF
425	1.0	ABA=1,ERA1=0	SLAC1	ON
426	1.0	ABA=0,Ca2c=0	QUAC1	OFF
427	1.0	ABA=1,Ca2c=0	QUAC1	ON
428	1.0	ABA=1,ABI1=1,Ca2c=0	QUAC1	OFF
429	1.0	ABA=1,Ca2c=0,OST1=0	QUAC1	OFF
430	1.0	ABA=1,PLDalpha=0,PLDdelta=0	PA	OFF
431	1.0	ABA=0	PLDalpha	OFF
432	1.0	ABA=1	PLDalpha	Some/ON
433	1.0	ABA=0	PLDdelta	OFF
434	1.0	ABA=1	PLDdelta	Some/ON
435	1.0	ABA=1	DAG	OFF/Some
436	1.0	ABA=0,ROS=1	SLAC1	Some/ON
437	1.0	ABA=0,OST1=0,ROS=1	SLAC1	Some/ON
438	1.0	ABA=0,GHR1=0,ROS=1	SLAC1	OFF/Some
439	1.0	ABA=0,SACC=0,ROS=1	CaIM	Some/ON
440	1.0	ABA=0,SACC=0,GPA1=0,ROS=1	CaIM	Some/ON
441	1.0	ABA=0,S1P=1	Ca2c	Some
442	1.0	ABA=0,CaIM=1	Ca2c	Some
443	1.0	ABA=0,AtRAC1=0	Actin_Reorganization	Some/ON
444	1.0	ABA=0,NO=1	PA	Some/ON
445	1.0	ABA=0,PLC=0	PA	OFF
446	1.0	ABA=0,NO=1,PLC=0	PA	OFF/Some
447	1.0	ABA=0,ROS=1	8-nitro-cGMP	Some/ON
448	1.0	ABA=0,ROS=1	Actin_Reorganization	Some
449	1.0	ABA=0,CaIM=1	SLAC1	Some/ON
450	1.0	ABA=0,MPK9_12=0	SLAC1	OFF
451	1.0	ABA=0,CaIM=1,MPK9_12=0	SLAC1	OFF
452	1.0	ABA=0,PA=1	Ca2c	OFF
453	1.0	ABA=0,GHR1=0	ROS	OFF
454	1.0	ABA=1,GHR1=0	ROS	ON
