Regulator,Target,Sign in BBM,Model,Sign,Classification,Confidence rank,Constraint,Notes
CREB1,BCL2,ambiguous,MCF7,positive,direct,1,regulates,regulation of transcription. CREB/CREB1 directly binds a cAMP-response element (CRE) in the BCL2 promoter and stimulates BCL2 transcription.
CREB1,BCL2,ambiguous,T47D,positive,direct,1,regulates,regulation of transcription. CREB/CREB1 directly binds a cAMP-response element (CRE) in the BCL2 promoter and stimulates BCL2 transcription.
CREB1,BCLXL,ambiguous,TGEN,positive,direct,1,regulates,regulation of transcription. CREB/CREB1 can directly bind a cAMP-response element (CRE) in the BCL2L1 (BCLXL) promoter and stimulates its transcription.
CREB1,BCLXL,ambiguous,MCF7,positive,direct,1,regulates,regulation of transcription. CREB/CREB1 can directly bind a cAMP-response element (CRE) in the BCL2L1 (BCLXL) promoter and stimulates its transcription.
CREB1,BCLXL,ambiguous,T47D,positive,direct,1,regulates,regulation of transcription. CREB/CREB1 can directly bind a cAMP-response element (CRE) in the BCL2L1 (BCLXL) promoter and stimulates its transcription.
CREB1,CEBPB,ambiguous,TGEN,positive,,,,
CREB1,CEBPB,ambiguous,MCF7,,,,,
CREB1,FZD3,ambiguous,TGEN,positive,,,,
CREB1,FZD3,ambiguous,MCF7,,,,,
CTNNB1,MYC,ambiguous,TGEN,positive,,,,
CTNNB1,MYC,ambiguous,MCF7,,,,,
CTNNB1,MYC,ambiguous,T47D,,,,,
CTNNB1,NOTCH1,ambiguous,TGEN,positive,,,,
CTNNB1,NOTCH1,ambiguous,MCF7,,,,,
CTNNB1,NOTCH1,ambiguous,T47D,,,,,
CTNNB1,TCF7L2,ambiguous,TGEN,positive,,,,
CTNNB1,TCF7L2,ambiguous,MCF7,,,,,
CTNNB1,TCF7L2,ambiguous,T47D,,,,,
cycE_CDK2,pRB,ambiguous,Z17,,,,,
cycE_CDK2,pRB_2,ambiguous,Z17,,,,,
cycE_CDK2,pRB_2,positive,Z21,,,,,
cycE_CDK2,pRB_3,ambiguous,Z17,,,,,
cycE_CDK2T,cycE_CDK2,ambiguous,Z17,,,,,
cycE_CDK2T,cycE_CDK2,positive,Z21,,,,,
CyclinB1,AKT,positive,HL,positive,correlation,3,,this inferred edge is supported by perturbation evidence but the mechanism is not clear
CyclinB1,AKT,negative,SL,negative ,unsupported,,,this inferred edge is not supported by evidence
CyclinB1,CyclinB1,positive,BL,,,,,
CyclinB1,CyclinB1,positive,HL,,,,,
CyclinB1,CyclinB1,positive,SL,,,,,
CyclinB1,ERK,positive,SL,,,,,
CyclinB1,p53,positive,BL,,,,,
CyclinB1,p53,positive,HL,,,,,
CyclinB1,p53,positive,SL,,,,,
CyclinB1,RB,negative,HL,,,,,
CyclinD_2,CyclinD,ambiguous,Z17,positive,unsupported,,,This edge is an artifact of the Boolean representation of a multi-level variable.
CyclinD_2,CyclinD,positive,Z21,positive,unsupported,,,This edge is an artifact of the Boolean representation of a multi-level variable.
CyclinD_2,CYCLINDc,ambiguous,Z17,positive,,0,necessary,Cyclin D1 is one of two components of the cyclin-CDK complex CYCLINDc. We assign the same rank as that of the CyclinD1->CYCLIND_c edge.
CyclinD_2,CYCLINDc,positive,Z21,positive,,0,necessary,Cyclin D1 is one of two components of the cyclin-CDK complex CYCLINDc. We assign the same rank as that of the CyclinD1->CYCLIND_c edge.
CyclinD_2,CYCLINDc_2,ambiguous,Z17,positive,,0,necessary,Cyclin D1 is one of two components of the cyclin-CDK complex CYCLINDc. We assign the same rank as that of the CyclinD1->CYCLIND_c edge.
CyclinD_2,CYCLINDc_2,positive,Z21,positive,,0,necessary,Cyclin D1 is one of two components of the cyclin-CDK complex CYCLINDc. We assign the same rank as that of the CyclinD1->CYCLIND_c edge.
CyclinD,CyclinD_2,ambiguous,Z17,positive,,0,necessary,Reaching a higher level necessitates achieving the lower level first.
CyclinD,CyclinD_2,positive,Z21,positive,,0,necessary,Reaching a higher level necessitates achieving the lower level first.
CyclinD,CyclinD,positive,BL,positive,unsupported,,,This inferred self-regulation is not supported by experimental evidence.
CyclinD,CyclinD,positive,HL,positive,unsupported,,,This inferred self-regulation is not supported by experimental evidence.
CyclinD,CyclinD,positive,SL,positive,unsupported,,,This inferred self-regulation is not supported by experimental evidence.
CyclinD,CYCLINDc,ambiguous,Z17,positive,,0,necessary,Cyclin D1 is one of two components of the cyclin-CDK complex CYCLINDc
CyclinD,CYCLINDc,positive,Z21,positive,,0,necessary,Cyclin D1 is one of two components of the cyclin-CDK complex CYCLINDc
CyclinD,GSK3B,positive,BL,,,,,
CyclinD,RB,negative,BL,,,,,
CyclinD,RB,negative,SL,,,,,
CYCLINDc,CYCLINDc_2,ambiguous,Z17,positive,,0,necessary,Reaching a higher level necessitates achieving the lower level first.
CYCLINDc,CYCLINDc_2,positive,Z21,positive,,0,necessary,Reaching a higher level necessitates achieving the lower level first.
CYCLINDc,pRB,ambiguous,Z17,,,,,
CYCLINDc,pRB,positive,Z21,,,,,
CYCLINDc,pRB_2,ambiguous,Z17,,,,,
CYCLINDc,pRB_2,positive,Z21,,,,,
CYCLINDc,RB,ambiguous,TGEN,negative,,,,
CYCLINDc,RB,ambiguous,MCF7,,,,,
CYCLINDc,RB,ambiguous,T47D,,,,,
CYCLINDc_2,CYCLINDc,ambiguous,Z17,positive,unsupported,,,This edge is an artifact of the Boolean representation of a multi-level variable.
CYCLINDc_2,CYCLINDc,positive,Z21,positive,unsupported,,,This edge is an artifact of the Boolean representation of a multi-level variable.
CYCLINDc_2,pRB,ambiguous,Z17,,,,,
CYCLINDc_2,pRB,positive,Z21,,,,,
CYCLINDc_2,pRB_2,ambiguous,Z17,,,,,
CYCLINDc_2,pRB_2,positive,Z21,,,,,
CYCLINDc_2,pRB_3,ambiguous,Z17,,,,,
CYCS,CASP9,ambiguous,TGEN,positive,direct in the network sense,1,regulates,"Cytosolic cytochrome c binds APAF1, causing APAF1 to assemble into the apoptosome. The apoptosome then recruits procaspase-9 through CARD–CARD interactions and activates it by proximity/dimerization.  APAF1 and the apoptosome are not in the network."
CYCS,CASP9,ambiguous,MCF7,positive,direct in the network sense,1,regulates,"Cytosolic cytochrome c binds APAF1, causing APAF1 to assemble into the apoptosome. The apoptosome then recruits procaspase-9 through CARD–CARD interactions and activates it by proximity/dimerization.  APAF1 and the apoptosome are not in the network."
CYCS,CASP9,ambiguous,T47D,positive,direct in the network sense,1,regulates,"Cytosolic cytochrome c binds APAF1, causing APAF1 to assemble into the apoptosome. The apoptosome then recruits procaspase-9 through CARD–CARD interactions and activates it by proximity/dimerization.  APAF1 and the apoptosome are not in the network."
DC,CTNNB1,ambiguous,TGEN,negative,,,,
DC,CTNNB1,ambiguous,MCF7,,,,,
DC,CTNNB1,ambiguous,T47D,,,,,
DLL,NOTCH1,ambiguous,TGEN,positive,,,,
DLL,NOTCH1,ambiguous,MCF7,,,,,
DLL,NOTCH1,ambiguous,T47D,,,,,
DVL1,AXIN1,ambiguous,TGEN,negative,,,,
DVL1,AXIN1,ambiguous,MCF7,,,,,
DVL1,AXIN1,ambiguous,T47D,,,,,
DVL1,RAC1,ambiguous,TGEN,positive,,,,
DVL1,RAC1,ambiguous,MCF7,,,,,
DVL1,RAC1,ambiguous,T47D,,,,,
DVL1,RND1,ambiguous,TGEN,positive,,,,
DVL1,RND1,ambiguous,MCF7,,,,,
DVL1,RND1,ambiguous,T47D,,,,,
E2F,cycE_CDK2T,ambiguous,Z17,,,,,
E2F,cycE_CDK2T,positive,Z21,,,,,
E2F,E2F_2,ambiguous,Z17,,,,,
E2F,E2F_2,positive,Z21,,,,,
E2F,E2F_3,ambiguous,Z17,,,,,
E2F,Proliferation,ambiguous,Z17,,,,,
E2F,Proliferation,positive,Z21,,,,,
E2F,Proliferation_3,positive,Z21,,,,,
E2F_2,cycE_CDK2T,ambiguous,Z17,,,,,
E2F_2,cycE_CDK2T,positive,Z21,,,,,
E2F_2,E2F,ambiguous,Z17,,,,,
E2F_2,E2F,positive,Z21,,,,,
E2F_2,E2F_3,ambiguous,Z17,,,,,
E2F_2,Proliferation,ambiguous,Z17,,,,,
E2F_2,Proliferation_2,ambiguous,Z17,,,,,
E2F_2,Proliferation_2,positive,Z21,,,,,
E2F_2,Proliferation_3,ambiguous,Z17,,,,,
E2F_2,Proliferation_3,positive,Z21,,,,,
E2F_3,cycE_CDK2T,ambiguous,Z17,,,,,
E2F_3,E2F,ambiguous,Z17,,,,,
E2F_3,E2F_2,ambiguous,Z17,,,,,
E2F_3,E2F_3,ambiguous,Z17,,,,,
E2F_3,Proliferation,ambiguous,Z17,,,,,
E2F_3,Proliferation_2,ambiguous,Z17,,,,,
E2F_3,Proliferation_3,ambiguous,Z17,,,,,
E2F_3,Proliferation_4,ambiguous,Z17,,,,,
EGF,AKT,ambiguous,T47D,positive,indirect,2,,"causal effect mediated by EGFR, PI3K, others"
EGF,EGFR,positive,BS,positive,direct,1,regulates,ligand-receptor binding
EGF,EGFR,positive,HS,positive,direct,1,regulates,ligand-receptor binding
EGF,EGFR,positive,SS,positive,direct,1,regulates,ligand-receptor binding
EGF,EGFR,ambiguous,TGEN,positive,direct,1,regulates,ligand-receptor binding
EGF,EGFR,ambiguous,MCF7,,,,,
EGF,EGFR,ambiguous,T47D,,,,,
EGF,ERK,positive,BS,positive,indirect,2,,"causal effect mediated by EGFR, RAS, RAF, MEK"
EGF,HER2,positive,BS,positive,indirect,2,,causal effect mediated by EGFR heterodimerization with HER2
EGF,HER2,ambiguous,TGEN,positive,indirect,2,,causal effect mediated by EGFR heterodimerization with HER2
EGF,HER2,ambiguous,MCF7,,,,,
EGF,PLCg,positive,BS,positive,indirect,2,,causal effect mediated by EGFR
EGFR,AKT,positive,BL,positive,indirect,2,,"causal effect mediated by PI3K, others"
EGFR,AKT,positive,HL,positive,indirect,2,,"causal effect mediated by PI3K, PIP3"
EGFR,AKT,positive,SL,positive,indirect,2,,"causal effect mediated by PI3K, PIP3"
EGFR,AKT,ambiguous,T47D,positive,indirect,2,,"causal effect mediated by PI3K, PIP3"
EGFR,BAX,positive,SL,,,,,
EGFR,CyclinB1,positive,BL,,,,,
EGFR,EGFR,positive,BL,,,,,
EGFR,EGFR,positive,HL,,,,,
EGFR,EGFR,positive,BS,positive,direct,1,regulates,EGFR homodimers phosphorylate each other
EGFR,EGFR,positive,HS,positive,direct,1,regulates,EGFR homodimers phosphorylate each other
EGFR,EGFR,positive,SS,positive,direct,1,regulates,EGFR homodimers phosphorylate each other
EGFR,EGFR,positive,SL,,,,,
EGFR,ERK,positive,HL,,,,,
EGFR,ERK,positive,SL,,,,,
EGFR,GRB2,ambiguous,TGEN,positive,,,,
EGFR,GRB2,ambiguous,MCF7,,,,,
EGFR,GRB2,ambiguous,T47D,,,,,
EGFR,HER2,positive,HS,positive,direct,1,regulates,protein-protein interaction; heterodimerization activates HER2
EGFR,KRT14,ambiguous,TGEN,positive,,,,
EGFR,KRT14,ambiguous,MCF7,,,,,
EGFR,KRT14,ambiguous,T47D,,,,,
EGFR,MEK,positive,BS,positive,indirect,2,,"causal effect mediated by RAS, RAF"
EGFR,MEK,positive,HS,positive,indirect,2,,"causal effect mediated by RAS, RAF"
EGFR,MEK,positive,SS,positive,indirect,2,,"causal effect mediated by RAS, RAF"
EGFR,PDK1_pm,positive,BS,positive,indirect,2,,"causal effect mediated by PI3K, PIP3"
EGFR,PDK1_pm,positive,HS,positive,direct,1,regulates,"causal effect mediated by PI3K, PIP3"
EGFR,PDK1_pm,positive,SS,positive,direct,1,regulates,"causal effect mediated by PI3K, PIP3"
EGFR,PI3K,ambiguous,TGEN,positive,direct,1,regulates,Activated EGFR recruits the p85 regulatory subunit of class IA PI3K into a receptor-associated complex
EGFR,PI3K,ambiguous,MCF7,,,,,
EGFR,PI3K,ambiguous,T47D,,,,,
EGFR,PLCg,positive,BS,positive,direct,1,regulates,EGFR recruits PLCgamma1 and phosphorylates it
EGFR,PLCg,positive,HS,positive,direct,1,regulates,EGFR recruits PLCgamma1 and phosphorylates it
EGFR,PLCg,positive,SS,positive,direct,1,regulates,EGFR recruits PLCgamma1 and phosphorylates it
EGFR,RAF1,positive,BL,,,,,
EGFR,RAF1,positive,HL,,,,,
EGFR,RAF1,positive,SL,,,,,
EGFR,STAT1,ambiguous,T47D,,,,,
EGFR,STAT5,ambiguous,TGEN,positive,,,,
EGFR,STAT5,ambiguous,MCF7,,,,,
EIF4,CYCLINDc,ambiguous,MCF7,positive,indirect,2,,"causal effect: eIF4E promotes both Cyclin D1 mRNA export and cap-dependent translation; experimentally increasing eIF4E increases Cyclin D1 protein, thus more CyclinDc complex can be formed."
EIF4,CYCLINDc,ambiguous,T47D,positive,indirect,2,,"causal effect: eIF4E promotes both Cyclin D1 mRNA export and cap-dependent translation; experimentally increasing eIF4E increases Cyclin D1 protein, thus more CyclinDc complex can be formed."
EIF4,MYC,ambiguous,TGEN,positive,,,,
EIF4,MYC,ambiguous,MCF7,,,,,
EIF4,MYC,ambiguous,T47D,,,,,
EIF4,Translation,ambiguous,Z17,positive,direct in the network sense,,,eIF4F is part of the molecular machinery that executes cap-dependent translation initiation.
EIF4,Translation,positive,Z21,positive,direct in the network sense,,,eIF4F is part of the molecular machinery that executes cap-dependent translation initiation.
EIF4EBP1,EIF4,ambiguous,TGEN,negative,,,,
EIF4EBP1,EIF4,ambiguous,MCF7,,,,,
EIF4EBP1,EIF4,ambiguous,T47D,,,,,
ER,ER_transcription,ambiguous,Z17,,,,,
ER,ER_transcription_2,ambiguous,Z17,,,,,
ER,ESR1,ambiguous,Z17,,,,,
ER,ESR1,positive,Z21,,,,,
ER,ESR1_2,ambiguous,Z17,,,,,
ER,ESR1_2,positive,Z21,,,,,
ER_transcription,ER_transcription_2,ambiguous,Z17,,,,,
ER_transcription,ER_transcription_2,positive,Z21,,,,,
ER_transcription,MYC,ambiguous,Z17,,,,,
ER_transcription,MYC,positive,Z21,,,,,
ER_transcription_2,BCL2,ambiguous,Z17,,,,,
ER_transcription_2,ER_transcription,ambiguous,Z17,,,,,
ER_transcription_2,ER_transcription,positive,Z21,,,,,
ER_transcription_2,ER_transcription_feedback_1,positive,Z21,,,,,
ER_transcription_2,MYC_2,ambiguous,Z17,,,,,
ER_transcription_2,MYC_2,positive,Z21,,,,,
ER_transcription_feedback_1,ER_transcription_feedback_2,positive,Z21,,,,,
ER_transcription_feedback_2,ER_transcription_feedback_2,positive,Z21,,,,,
ER_transcription_feedback_2,ESR1_2,negative,Z21,,,,,
ERK,BAD,ambiguous,TGEN,negative,direct,1,regulates,"ERK1/2 phosphorylate BAD, which leads to its sequestration by 14-3-3 proteins, making it unable to inhibit BCLXL, BCL2"
ERK,BAD,ambiguous,MCF7,,,,,
ERK,BAD,ambiguous,T47D,,,,,
ERK,BCL2,ambiguous,TGEN,positive,direct,1,regulates,ERK1/2 phosphorylate BCL2 at Ser70. This phosphorylation enhances BCL2's anti-apoptotic function:
ERK,BCL2,ambiguous,MCF7,,,,,
ERK,BCL2,ambiguous,T47D,,,,,
ERK,CASP8,ambiguous,TGEN,negative,,,,
ERK,CASP8,ambiguous,MCF7,,,,,
ERK,CASP8,ambiguous,T47D,,,,,
ERK,CASP9,ambiguous,TGEN,negative,direct,1,regulates,"ERK1/2 directly binds and phosphorylates caspase-9 at Thr125, inhibiting its activation/activity."
ERK,CASP9,ambiguous,MCF7,,,,,
ERK,CASP9,ambiguous,T47D,,,,,
ERK,CyclinD,positive,BL,positive,indirect,2,,causal effect mediated by JUN and other transcription factors that upregulate CCND1 transcription.
ERK,CyclinD,positive,HL,positive,indirect,2,,causal effect mediated by JUN and other transcription factors that upregulate CCND1 transcription.
ERK,CyclinD,positive,SL,positive,indirect,2,,causal effect mediated by JUN and other transcription factors that upregulate CCND1 transcription.
ERK,CYCLINDc,ambiguous,T47D,positive,,2,,causal effect mediated by JUN and other transcription factors that upregulate CCND1 transcription.
ERK,ERK,positive,BL,,,,,
ERK,ERK,positive,HL,,,,,
ERK,ERK,positive,BS,positive,unsupported,,,this inferred self-regulation is not supported by experimental evidence
ERK,ERK,positive,HS,positive,unsupported,,,this inferred self-regulation is not supported by experimental evidence
ERK,ERK,positive,SS,positive,unsupported,,,this inferred self-regulation is not supported by experimental evidence
ERK,ERK,positive,SL,,,,,
ERK,GSK3B,ambiguous,TGEN,negative,,,,
ERK,GSK3B,ambiguous,MCF7,,,,,
ERK,GSK3B,ambiguous,T47D,,,,,
ERK,HER3,positive,HS,positive,unsupported,,,there is no evidence for a positive relationship; a negative feedback effect is known
ERK,JUN,ambiguous,TGEN,positive,,,,
ERK,JUN,ambiguous,MCF7,,,,,
ERK,JUN,ambiguous,T47D,,,,,
ERK,LCK,ambiguous,TGEN,positive,,,,
ERK,LCK,ambiguous,MCF7,,,,,
ERK,LCK,ambiguous,T47D,,,,,
ERK,MCL1,ambiguous,TGEN,positive,direct,1,regulates,"ERK1/2 phosphorylates MCL1, which stabilizes MCL1 and increases its anti-apoptotic activity. ERK1/2 also has indirect effects on MCL1 transcription and translation."
ERK,MCL1,ambiguous,MCF7,positive,direct,1,regulates,"ERK1/2 phosphorylates MCL1, which stabilizes MCL1 and increases its anti-apoptotic activity. ERK1/2 also has indirect effects on MCL1 transcription and translation."
ERK,MCL1,ambiguous,T47D,positive,direct,1,regulates,"ERK1/2 phosphorylates MCL1, which stabilizes MCL1 and increases its anti-apoptotic activity. ERK1/2 also has indirect effects on MCL1 transcription and translation."
ERK,MYC,ambiguous,TGEN,positive,,,,
ERK,MYC,ambiguous,MCF7,,,,,
ERK,MYC,ambiguous,T47D,,,,,
ERK,p21,ambiguous,TGEN,negative,,,,
ERK,p21,ambiguous,MCF7,,,,,
ERK,p21,ambiguous,T47D,,,,,
ERK,PGR,ambiguous,TGEN,negative,,,,
ERK,PGR,ambiguous,MCF7,,,,,
ERK,PGR,ambiguous,T47D,,,,,
ERK,RAF1,negative,BL,,,,,
ERK,RAF1,negative,HL,,,,,
ERK,RAF1,negative,SL,,,,,
ERK,S6K,positive,BL,,,,,
ERK,S6K,positive,HL,,,,,
ERK,S6K,positive,BS,positive,direct,1,regulates,"ERK phosphorylates S6K, contributing to its activation"
ERK,S6K,positive,HS,positive,direct,1,regulates,"ERK phosphorylates S6K, contributing to its activation"
ERK,S6K,positive,SS,positive,direct,1,regulates,"ERK phosphorylates S6K, contributing to its activation"
ERK,S6K,positive,SL,,,,,
ERK,S6K,ambiguous,T47D,,,,,
ERK,STK11,ambiguous,TGEN,negative,,,,
ERK,STK11,ambiguous,MCF7,,,,,
ERK,STK11,ambiguous,T47D,,,,,
ERK,TSC2,negative,BL,,,,,
ERK,TSC2,negative,HL,,,,,
ERK,TSC2,negative,SL,,,,,
ERK,TSC2,ambiguous,TGEN,negative,,,,
ERK,TSC2,ambiguous,MCF7,,,,,
ERK,TSC2,ambiguous,T47D,,,,,
ERK,TWIST1,ambiguous,TGEN,positive,,,,
ERK,TWIST1,ambiguous,MCF7,,,,,
ERK,TWIST1,ambiguous,T47D,,,,,
erlotinib,EGFR,negative,BL,,,,,
erlotinib,EGFR,negative,HL,,,,,
erlotinib,EGFR,negative,BS,negative,direct,1,regulates,erlotinib is a small molecule that binds the intracellular kinase domain of EGFR
erlotinib,EGFR,negative,HS,negative,direct,1,regulates,erlotinib is a small molecule that binds the intracellular kinase domain of EGFR
erlotinib,EGFR,negative,SS,negative,direct,1,regulates,erlotinib is a small molecule that binds the intracellular kinase domain of EGFR
erlotinib,EGFR,negative,SL,,,,,
erlotinib,HER2,negative,BL,,,,,
erlotinib,HER2,negative,HL,,,,,
erlotinib,HER2,negative,BS,negative,direct,1,regulates,erlotinib is a small molecule that binds the intracellular kinase domain of HER2
erlotinib,HER2,negative,HS,negative,direct,1,regulates,erlotinib is a small molecule that binds the intracellular kinase domain of HER2
erlotinib,HER2,negative,SS,negative,direct,1,regulates,erlotinib is a small molecule that binds the intracellular kinase domain of HER2
erlotinib,HER2,negative,SL,,,,,
erlotinib,HER3,negative,BL,,,,,
erlotinib,HER3,negative,HL,,,,,
erlotinib,HER3,negative,BS,negative,indirect,2,,indirect causal effect mediated by HER2 or another kinase
erlotinib,HER3,negative,HS,negative,indirect,2,,indirect causal effect mediated by HER2 or another kinase
erlotinib,HER3,negative,SS,negative,indirect,2,,indirect causal effect mediated by HER2 or another kinase
erlotinib,HER3,negative,SL,,,,,
erlotinib,S6K,positive,HS,positive,unsupported,,,This inferred edge is not supported by experimental evidence
ES,ESR1,ambiguous,TGEN,positive,direct,1,regulates,ligand-receptor binding
ES,ESR1,ambiguous,MCF7,positive,direct,1,regulates,ligand-receptor binding
ES,ESR1,ambiguous,T47D,positive,direct,1,regulates,
ES,ESR1_2,positive,Z21,positive,direct,1,regulates,
ESR1,CYCLINDc,ambiguous,TGEN,positive,indirect,2,,Estrogen-activated ERα promotes CCND1 transcription; this allows increased CYCLINDc formation.
ESR1,CYCLINDc,ambiguous,MCF7,positive,indirect,2,,Estrogen-activated ERα promotes CCND1 transcription; this allows increased CYCLINDc formation.
ESR1,CYCLINDc,ambiguous,T47D,positive,indirect,2,,Estrogen-activated ERα promotes CCND1 transcription; this allows increased CYCLINDc formation.
ESR1,ER_transcription,ambiguous,Z17,,,,,
ESR1,ER_transcription,positive,Z21,,,,,
ESR1,ESR1_2,ambiguous,Z17,positive,,0,necessary,reaching a higher level necessitates achieving the lower level first
ESR1,ESR1_2,positive,Z21,positive,,0,necessary,reaching a higher level necessitates achieving the lower level first
ESR1,HER2,ambiguous,T47D,,,,,
ESR1,HSP90AA1,ambiguous,T47D,,,,,
ESR1,IGF1R,ambiguous,TGEN,positive,,,,
ESR1,IGF1R,ambiguous,MCF7,,,,,
ESR1,IGF1R,ambiguous,T47D,,,,,
ESR1,MYC,ambiguous,TGEN,positive,,,,
ESR1,MYC,ambiguous,MCF7,,,,,
ESR1,MYC,ambiguous,T47D,,,,,
ESR1,PGR,ambiguous,TGEN,negative,,,,
ESR1,PGR,ambiguous,MCF7,,,,,
ESR1,PGR,ambiguous,T47D,,,,,
ESR1,PI3K,ambiguous,TGEN,positive,direct,1,regulates,The estrogen receptor ERα (ESR1) physically associates with the p85 regulatory subunit of PI3K.
ESR1,PI3K,ambiguous,MCF7,positive,direct,1,regulates,The estrogen receptor ERα (ESR1) physically associates with the p85 regulatory subunit of PI3K.
ESR1,PI3K,ambiguous,T47D,positive,direct,1,regulates,The estrogen receptor ERα (ESR1) physically associates with the p85 regulatory subunit of PI3K.
ESR1_2,ER_transcription,ambiguous,Z17,,,,,
ESR1_2,ER_transcription,positive,Z21,,,,,
ESR1_2,ER_transcription_2,ambiguous,Z17,,,,,
ESR1_2,ER_transcription_2,positive,Z21,,,,,
ESR1_2,ESR1,ambiguous,Z17,positive,,,,
ESR1_2,ESR1,positive,Z21,,,,,
Everolimus,mTORC1,ambiguous,Z17,negative ,direct in the network sense,1,regulates,"Everolimus binds the intracellular protein FKBP12; the everolimus–FKBP12 complex then binds the FRB domain of mTOR within mTORC1, inhibiting mTORC1 signaling. FKBP12 is not in the network."
Everolimus,mTORC1,negative,Z21,negative ,direct in the network sense,1,regulates,"Everolimus binds the intracellular protein FKBP12; the everolimus–FKBP12 complex then binds the FRB domain of mTOR within mTORC1, inhibiting mTORC1 signaling. FKBP12 is not in the network."
Everolimus,mTORC2,ambiguous,Z17,negative ,indirect,2,,Everolimus does not target mTORC2. Prolonged exposure to everolimus can indirectly inhibit mTORC2 because drug-bound mTOR becomes unavailable for assembly of new mTORC2 complexes.
Everolimus,mTORC2,negative,Z21,negative,indirect,2,,Prolonged exposure to rapalogs can inhibit mTORC2 in some cell types because drug-bound mTOR becomes unavailable for assembly of new mTORC2 complexes.
Everolimus,mTORC2_pm,ambiguous,Z17,negative ,indirect,2,,"Prolonged exposure to rapalogs can deplete mTORC2, and thus also mTORC2_pm, because drug-bound mTOR becomes unavailable for assembly of new mTORC2 complexes."
Everolimus,mTORC2_pm,negative,Z21,negative,indirect,2,,"Prolonged exposure to rapalogs can deplete mTORC2, and thus also mTORC2_pm,  because drug-bound mTOR becomes unavailable for assembly of new mTORC2 complexes."
FADD,CASP8,ambiguous,TGEN,,,,,
FADD,CASP8,ambiguous,MCF7,,,,,
FADD,CASP8,ambiguous,T47D,,,,,
FAS,FADD,ambiguous,TGEN,positive,,,,
FAS,FADD,ambiguous,MCF7,,,,,
FAS,FADD,ambiguous,T47D,,,,,
FASLG,FAS,ambiguous,TGEN,positive,direct,1,regulates,ligand-receptor binding
FASLG,FAS,ambiguous,MCF7,positive,direct,1,regulates,ligand-receptor binding
FASLG,FAS,ambiguous,T47D,positive,direct,1,regulates,ligand-receptor binding
FASLG,FASLG,ambiguous,TGEN,positive,unsupported,,,This assumed self-regulation is not supported by evidence
FASLG,FASLG,ambiguous,MCF7,positive,unsupported,,,This assumed self-regulation is not supported by evidence
FASLG,FASLG,ambiguous,T47D,positive,unsupported,,,This assumed self-regulation is not supported by evidence
FOXA1,ER_transcription_2,ambiguous,Z17,,,,,
FOXA1,ER_transcription_2,positive,Z21,,,,,
FOXO1,BIM,ambiguous,TGEN,positive,direct,1,regulates,FOXO1 binds conserved forkhead-response elements in the promoter of  BCL2L11 (the gene encoding BIM) and stimulate its transcription.
FOXO1,BIM,ambiguous,MCF7,positive,direct,1,regulates,"FOXO1FOXO3 unites the FOXO1 and FOXO3 nodes, which are represented separately in other models. The direct effect of AKT on both FOXO1 and FOXO3 translates to a direct effect on FOXO1FOXO3."
FOXO1,BIM,ambiguous,T47D,positive,direct,1,regulates,"FOXO1FOXO3 unites the FOXO1 and FOXO3 nodes, which are represented separately in other models. The direct effect of AKT on both FOXO1 and FOXO3 translates to a direct effect on FOXO1FOXO3."
FOXO1FOXO3,FOXO1FOXO3,positive,BL,positive,unsupported,,,This inferred self-regulation is not supported by evidence;  neither FOXO1 nor FOXO3 has functional self regulation.
FOXO1FOXO3,FOXO1FOXO3,positive,HL,positive,unsupported,,,This inferred self-regulation is not supported by evidence;  neither FOXO1 nor FOXO3 has functional self regulation.
FOXO1FOXO3,FOXO1FOXO3,positive,SL,positive,unsupported,,,This inferred self-regulation is not supported by evidence;  neither FOXO1 nor FOXO3 has functional self regulation.
FOXO3,BIM,ambiguous,Z17,positive,direct,,,FOXO3 binds conserved forkhead-response elements in the promoter of  BCL2L11 (the gene encoding BIM) and stimulates its transcription.
FOXO3,BIM,positive,Z21,positive,direct,,,FOXO3 binds conserved forkhead-response elements in the promoter of  BCL2L11 (the gene encoding BIM) and stimulates its transcription.
FOXO3,BIM,ambiguous,TGEN,positive,direct,1,regulates,FOXO3 binds conserved forkhead-response elements in the promoter of  BCL2L11 (the gene encoding BIM) and stimulates its transcription.
FOXO3,BIM,ambiguous,MCF7,positive,direct,1,regulates,FOXO3 binds conserved forkhead-response elements in the promoter of  BCL2L11 (the gene encoding BIM) and stimulates its transcription.
FOXO3,BIM,ambiguous,T47D,positive,direct,1,regulates,FOXO3 binds conserved forkhead-response elements in the promoter of  BCL2L11 (the gene encoding BIM) and stimulates its transcription.
FOXO3,CYCLINDc,ambiguous,MCF7,positive,unsupported,,,"This assumed edge is not supported by evidence. Instead, there is an indirect negative effect mediated by p27."
FOXO3,CYCLINDc,ambiguous,T47D,positive,unsupported,,,"This assumed edge is not supported by evidence. Instead, there is an indirect negative effect mediated by p27."
FOXO3,ESR1,ambiguous,Z17,positive,direct,1,regulates,regulation of transcription. FOXO3a directly binds regulatory sites in the ESR1 (ERα) promoter and increases ESR1 transcription
FOXO3,ESR1,positive,Z21,positive,direct,1,regulates,regulation of transcription. FOXO3a directly binds regulatory sites in the ESR1 (ERα) promoter and increases ESR1 transcription
